Site,Sample_Type,season.mean.d13C,season.sd.d13C,season.mean.d15N,season.sd.d15N
3,CBOM,-29.96333333,0.302379453,1.333333333,0.263502056
3,FBOM,-27.25333333,0.915277736,2.61,0.49689033
3,Algae,-22.60333333,2.102411314,4.953333333,1.41779171
