Site,Sample_Type,annual.mean.d13C,annual.sd.d13C,annual.mean.d15N,annual.sd.d15N
2,CBOM,-29.44833333,0.952153858,0.088333333,0.457301041
2,FBOM,-26.59090909,0.725747264,1.293636364,0.517557199
2,Algae,-27.737,3.211341187,1.706,0.784335529
