Site,Sample_Type,annual.mean.d13C,annual.sd.d13C,annual.mean.d15N,annual.sd.d15N
3,CBOM,-29.91,0.885468546,0.480416667,0.810091068
3,FBOM,-26.83833333,0.816387089,2.750833333,0.331428268
3,Algae,-21.465,1.889908608,3.685833333,1.449805368
