d15N,d13C,FFG,Site
0.87,-26.525,Shredder,2
-1.68,-28.89,Shredder,2
3.1725,-25.8075,Shredder,2
1.36,-28.86,Shredder,2
2.04,-29.83,Shredder,2
0.9234375,-27.11375,Shredder,2
2.88,-26.09,Shredder,2
1.798333333,-26.58,Shredder,2
