Site,Sample_Type,season.mean.d13C,season.sd.d13C,season.mean.d15N,season.sd.d15N
2,CBOM,-28.86666667,1.480754312,0.413333333,0.430155011
2,FBOM,-26.2,0.651076032,0.873333333,0.442417601
2,Algae,-26.795,0.134350288,1.475,0.16263456
