d15N,d13C,FFG,Site
6.66,-23.125,Shredder,3
0.7,-28.69,Shredder,3
6.695555556,-25.31,Shredder,3
5.4,-23.35,Shredder,3
1.3,-25.74,Shredder,3
5.003333333,-25.60833333,Shredder,3
2.45,-27.48333333,Shredder,3
